# PP3 device database for version 0.95
# 
# name   flash page  ID  mask family_type
# flash size and page size in bytes 1 WORD = 2 BYTES
# 
# PIC16 family
18f25j11  32768  64 4DA0 FFE0 CF_P18F_B 
18f26j11  65536  64 4DC0 FFE0 CF_P18F_B 
18f44j11  16384  64 4DE0 FFE0 CF_P18F_B 
18f45j11  32768  64 4E00 FFE0 CF_P18F_B 
18f46j11  65536  64 4E20 FFE0 CF_P18F_B 
18lf24j11 16384  64 4E40 FFE0 CF_P18F_B 
18lf25j11 32768  64 4E60 FFE0 CF_P18F_B 
18lf26j11 65536  64 4E80 FFE0 CF_P18F_B 
18lf44j11 16384  64 4EA0 FFE0 CF_P18F_B 
18lf45j11 32768  64 4EC0 FFE0 CF_P18F_B 
18lf46j11 65536  64 4EE0 FFE0 CF_P18F_B 
18f24j10  16384  64 1D00 FFE0 CF_P18F_B 
18f25j10  32768  64 1C00 FFE0 CF_P18F_B 
18f44j10  16384  64 1D20 FFE0 CF_P18F_B 
18f45j10  32768  64 1C20 FFE0 CF_P18F_B 
18lf24j10 16384  64 1D40 FFE0 CF_P18F_B 
18lf25j10 32768  64 1C40 FFE0 CF_P18F_B 
18lf44j10 16384  64 1D60 FFE0 CF_P18F_B 
18lf45j10 32768  64 1C60 FFE0 CF_P18F_B 
18f26j13  65536  64 5920 FFE0 CF_P18F_B 
18f27j13  131072 64 5960 FFE0 CF_P18F_B 
18f46j13  65536  64 59A0 FFE0 CF_P18F_B 
18f47j13  131072 64 59E0 FFE0 CF_P18F_B 
18lf26j13 65536  64 5B20 FFE0 CF_P18F_B 
18lf27j13 131072 64 5B60 FFE0 CF_P18F_B 
18lf46j13 65536  64 5BA0 FFE0 CF_P18F_B 
18lf47j13 131072 64 5BE0 FFE0 CF_P18F_B 
18f26J53  65536  64 5820 FFE0 CF_P18F_B 
18f27J53  131072 64 5860 FFE0 CF_P18F_B 
18f46J53  65536  64 58A0 FFE0 CF_P18F_B 
18f47J53  131072 64 58E0 FFE0 CF_P18F_B 
18lf26J53 65536  64 5A20 FFE0 CF_P18F_B 
18lf27J53 131072 64 5A60 FFE0 CF_P18F_B 
18lf46J53 65536  64 5AA0 FFE0 CF_P18F_B 
18lf47J53 131072 64 5AE0 FFE0 CF_P18F_B 
18f63j11  8192   64 3900 FFE0 CF_P18F_B
18f63j90  8192   64 3800 FFE0 CF_P18F_B
18f64j11  16384  64 3920 FFE0 CF_P18F_B
18f64j90  16384  64 3820 FFE0 CF_P18F_B
18f65j10  32768  64 1520 FFE0 CF_P18F_B
18f65j11  32768  64 3960 FFE0 CF_P18F_B
18f65j15  49152  64 1540 FFE0 CF_P18F_B
18f65j50  32768  64 4100 FFE0 CF_P18F_B
18f65j90  32768  64 3860 FFE0 CF_P18F_B
18f66j10  65536  64 1560 FFE0 CF_P18F_B
18f66j11  65536  64 4440 FFE0 CF_P18F_B
18f66j15  65536  64 1580 FFE0 CF_P18F_B
18f66j16  65536  64 4460 FFE0 CF_P18F_B
18f66j50  65536  64 4140 FFE0 CF_P18F_B
18f66j55  98304  64 4160 FFE0 CF_P18F_B
18f66j90  65536  64 5000 FFE0 CF_P18F_B
18f66j93  65536  64 5040 FFE0 CF_P18F_B
18f67j10  131072 64 15A0 FFE0 CF_P18F_B
18f67j11  131072 64 4480 FFE0 CF_P18F_B
18f67j50  131072 64 4180 FFE0 CF_P18F_B
18f67j90  131072 64 5020 FFE0 CF_P18F_B
18f67j93  131072 64 5060 FFE0 CF_P18F_B
18f83j11  8192   64 3980 FFE0 CF_P18F_B
18f83j90  8192   64 3880 FFE0 CF_P18F_B
18f84j11  16384  64 39A0 FFE0 CF_P18F_B
18f84j90  16384  64 38A0 FFE0 CF_P18F_B
18f85j10  32768  64 15E0 FFE0 CF_P18F_B
18f85j11  32768  64 39E0 FFE0 CF_P18F_B
18f85j15  49152  64 1700 FFE0 CF_P18F_B
18f85j50  32768  64 41A0 FFE0 CF_P18F_B
18f85j90  32768  64 38E0 FFE0 CF_P18F_B
18f86j10  65536  64 1720 FFE0 CF_P18F_B
18f86j11  65536  64 44E0 FFE0 CF_P18F_B
18f86j15  65536  64 1740 FFE0 CF_P18F_B
18f86j16  65536  64 4500 FFE0 CF_P18F_B
18f86j50  65536  64 41E0 FFE0 CF_P18F_B
18f86j55  98304  64 4200 FFE0 CF_P18F_B
18f86j72  65536  64 5040 FFE0 CF_P18F_B
18f86j90  65536  64 5080 FFE0 CF_P18F_B
18f86j93  65536  64 50C0 FFE0 CF_P18F_B
